HB2014Name,GPPracticeName,BNFItemDescription,BNFItemCode,PaidDateMonth,NumberOfPaidItems
NHS Forth Valley,FORTHVIEW PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,3
NHS Forth Valley,FORTHVIEW PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,7
NHS Forth Valley,FORTHVIEW PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,7
NHS Forth Valley,FORTHVIEW PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,1
NHS Orkney,ORCADES PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,32
NHS Orkney,ORCADES PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Orkney,ORCADES PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,32
NHS Orkney,ORCADES PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,30
NHS Orkney,ORCADES PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,32
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Highland,ARMADALE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Highland,ARMADALE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Highland,ARMADALE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Highland,ARMADALE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Highland,ARMADALE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,28
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,30
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,29
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Shetland,LERWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,9
NHS Shetland,LERWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,1
NHS Shetland,LERWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,9
NHS Shetland,LERWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,4
NHS Shetland,LERWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,6
NHS Orkney,HEILENDI PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,33
NHS Orkney,HEILENDI PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,29
NHS Orkney,HEILENDI PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Orkney,HEILENDI PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,28
NHS Orkney,HEILENDI PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,30
NHS Shetland,HILLSWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,0
NHS Shetland,HILLSWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,5
NHS Shetland,HILLSWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,6
NHS Shetland,HILLSWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,0
NHS Shetland,HILLSWICK HEALTH CENTRE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,6
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Orkney,DOUNBY SURGERY,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Grampian,HAMILTON MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Grampian,HAMILTON MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Grampian,HAMILTON MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Grampian,HAMILTON MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Grampian,HAMILTON MEDICAL GROUP,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Orkney,STROMNESS SURGERY,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,4
NHS Orkney,STROMNESS SURGERY,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,7
NHS Orkney,STROMNESS SURGERY,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,2
NHS Orkney,STROMNESS SURGERY,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,1
NHS Orkney,STROMNESS SURGERY,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,4
NHS Borders,THE NEIDPATH PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,9
NHS Borders,THE NEIDPATH PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,8
NHS Borders,THE NEIDPATH PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,4
NHS Borders,THE NEIDPATH PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,4
NHS Borders,THE NEIDPATH PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Lanarkshire,DRS TIERNEY & CANNING,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Lanarkshire,DRS TIERNEY & CANNING,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Lanarkshire,DRS TIERNEY & CANNING,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Lanarkshire,DRS TIERNEY & CANNING,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Lanarkshire,DRS TIERNEY & CANNING,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Borders,JEDBURGH MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Borders,JEDBURGH MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Borders,JEDBURGH MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Borders,JEDBURGH MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Borders,JEDBURGH MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Tayside,ALYTH HEALTH CENTRE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Tayside,ALYTH HEALTH CENTRE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Tayside,ALYTH HEALTH CENTRE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Tayside,ALYTH HEALTH CENTRE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Tayside,ALYTH HEALTH CENTRE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Grampian,NEW DYCE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Grampian,NEW DYCE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Grampian,NEW DYCE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Grampian,NEW DYCE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Grampian,NEW DYCE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Fife,THE LINKS PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Fife,THE LINKS PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Fife,THE LINKS PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Fife,THE LINKS PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Fife,THE LINKS PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Orkney,ISLANDS VIEW SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,31
NHS Orkney,ISLANDS VIEW SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,28
NHS Orkney,ISLANDS VIEW SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,31
NHS Orkney,ISLANDS VIEW SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,32
NHS Orkney,ISLANDS VIEW SURGERY,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,29
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-04-01,0
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-05-01,9
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-06-01,9
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-07-01,3
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-08-01,9
NHS Highland,ARMADALE MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,3
NHS Highland,ARMADALE MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,4
NHS Highland,ARMADALE MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,6
NHS Highland,ARMADALE MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,5
NHS Highland,ARMADALE MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-04-01,1
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-05-01,5
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-06-01,7
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-07-01,6
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-08-01,6
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,33
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,29
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,33
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,32
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,30
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,28
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,31
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,28
NHS Tayside,ABERFELDY AND KINLOCH RANNOCH MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,31
NHS Tayside,ABERFELDY AND KINLOCH RANNOCH MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Tayside,ABERFELDY AND KINLOCH RANNOCH MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,33
NHS Tayside,ABERFELDY AND KINLOCH RANNOCH MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,32
NHS Tayside,ABERFELDY AND KINLOCH RANNOCH MEDICAL PRACTICE,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,30
NHS Lanarkshire,STEPPS SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Lanarkshire,STEPPS SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Lanarkshire,STEPPS SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Lanarkshire,STEPPS SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Lanarkshire,STEPPS SURGERY,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,4
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,2
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,4
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Forth Valley,CALLANDER MEDICAL PRACTICE,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Grampian,NEW DYCE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Grampian,NEW DYCE MEDICAL PRACTICE,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
