age,hb_name,hb_code,measure,sex,quarter_date,los,stays,avlos
20-29,NHS Highland,S08000022,All Daycases,B,2018-10-01,13.0,12.0,1.08
10-19,NHS Shetland,S08000026,Elective Inpatients,B,2018-07-01,1.0,1.0,1.0
10-19,NHS Lanarkshire,S08000023,All Daycases,B,2018-07-01,15.0,15.0,1.0
30-39,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2018-07-01,34.0,31.0,1.1
70-79,NHS Lanarkshire,S08000023,All Daycases,A,2019-01-01,129.0,129.0,1.0
90+,NHS Dumfries & Galloway,S08000017,Elective Inpatients,B,2018-10-01,6.0,1.0,6.0
80-89,NHS Borders,S08000016,All Daycases,A,2019-01-01,13.0,12.0,1.08
80-89,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,B,2018-10-01,140.0,18.0,7.78
20-29,NHS Orkney,S08000025,Elective Inpatients,B,2018-10-01,1.0,1.0,1.0
40-49,NHS Lothian,S08000024,Emergency Inpatients,B,2018-10-01,152.0,71.0,2.14
40-49,NHS Lothian,S08000024,Emergency Inpatients,B,2019-01-01,165.0,75.0,2.2
50-59,NHS Borders,S08000016,All Daycases,A,2018-04-01,15.0,14.0,1.07
50-59,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-07-01,490.0,305.0,1.61
80-89,NHS Shetland,S08000026,All Daycases,B,2018-10-01,3.0,3.0,1.0
10-19,NHS Fife,S08000029,Emergency Inpatients,B,2018-10-01,9.0,9.0,1.0
40-49,NHS Orkney,S08000025,All Daycases,B,2018-07-01,2.0,2.0,1.0
50-59,NHS Highland,S08000022,All Daycases,A,2018-10-01,38.0,35.0,1.09
10-19,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-07-01,46.0,46.0,1.0
80-89,NHS Shetland,S08000026,All Daycases,B,2018-04-01,3.0,3.0,1.0
30-39,NHS Lothian,S08000024,All Daycases,B,2018-10-01,48.0,44.0,1.09
10-19,NHS Lanarkshire,S08000023,Elective Inpatients,B,2018-04-01,5.0,5.0,1.0
0-9,NHS Lothian,S08000024,Emergency Inpatients,B,2018-04-01,15.0,14.0,1.07
90+,NHS Dumfries & Galloway,S08000017,Elective Inpatients,B,2018-07-01,6.0,1.0,6.0
70-79,NHS Forth Valley,S08000019,All Daycases,B,2019-01-01,33.0,31.0,1.06
80-89,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-07-01,195.0,180.0,1.08
50-59,NHS Grampian,S08000020,Emergency Inpatients,B,2018-04-01,167.0,78.0,2.14
50-59,NHS Highland,S08000022,All Daycases,B,2018-04-01,36.0,34.0,1.06
60-69,NHS Dumfries & Galloway,S08000017,All Daycases,A,2018-10-01,25.0,25.0,1.0
50-59,NHS Lothian,S08000024,All Daycases,A,2018-04-01,113.0,110.0,1.03
50-59,NHS Dumfries & Galloway,S08000017,Elective Inpatients,A,2018-07-01,7.0,6.0,1.17
70-79,NHS Forth Valley,S08000019,Emergency Inpatients,A,2018-10-01,260.0,43.0,6.05
60-69,NHS Dumfries & Galloway,S08000017,All Daycases,A,2018-07-01,28.0,26.0,1.08
40-49,NHS Lanarkshire,S08000023,All Daycases,A,2019-01-01,59.0,58.0,1.02
80-89,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-10-01,151.0,58.0,2.6
30-39,NHS Tayside,S08000030,Emergency Inpatients,A,2018-10-01,57.0,25.0,2.28
20-29,NHS Fife,S08000029,All Daycases,B,2019-01-01,14.0,14.0,1.0
80-89,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-07-01,474.0,93.0,5.1
90+,NHS Lothian,S08000024,All Daycases,B,2018-07-01,18.0,16.0,1.12
40-49,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-10-01,143.0,143.0,1.0
20-29,NHS Lothian,S08000024,Elective Inpatients,A,2018-07-01,13.0,13.0,1.0
20-29,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2018-10-01,6.0,6.0,1.0
80-89,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2019-01-01,1727.0,230.0,7.51
90+,NHS Lothian,S08000024,All Daycases,A,2018-04-01,18.0,17.0,1.06
70-79,NHS Ayrshire & Arran,S08000015,Emergency Inpatients,B,2018-10-01,322.0,96.0,3.35
60-69,NHS Highland,S08000022,All Daycases,B,2019-01-01,35.0,35.0,1.0
70-79,NHS Forth Valley,S08000019,Emergency Inpatients,A,2018-07-01,241.0,38.0,6.34
10-19,NHS Fife,S08000029,All Daycases,A,2018-07-01,9.0,8.0,1.12
50-59,NHS Lothian,S08000024,Elective Inpatients,B,2019-01-01,36.0,31.0,1.16
80-89,NHS Lothian,S08000024,All Daycases,B,2018-10-01,87.0,80.0,1.09
0-9,NHS Grampian,S08000020,Elective Inpatients,A,2018-07-01,3.0,3.0,1.0
70-79,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-10-01,33.0,11.0,3.0
20-29,NHS Lanarkshire,S08000023,Elective Inpatients,B,2018-04-01,9.0,9.0,1.0
40-49,NHS Grampian,S08000020,All Daycases,A,2018-04-01,38.0,37.0,1.03
0-9,NHS Fife,S08000029,All Daycases,B,2019-01-01,4.0,4.0,1.0
40-49,NHS Fife,S08000029,Elective Inpatients,B,2018-10-01,8.0,8.0,1.0
50-59,NHS Highland,S08000022,All Daycases,A,2018-07-01,35.0,32.0,1.09
50-59,NHS Fife,S08000029,Emergency Inpatients,A,2018-07-01,110.0,52.0,2.12
40-49,NHS Borders,S08000016,All Daycases,B,2018-04-01,8.0,8.0,1.0
20-29,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-07-01,44.0,42.0,1.05
20-29,NHS Highland,S08000022,All Daycases,B,2018-04-01,12.0,11.0,1.09
30-39,NHS Orkney,S08000025,All Daycases,A,2018-07-01,2.0,2.0,1.0
50-59,NHS Borders,S08000016,Elective Inpatients,B,2019-01-01,4.0,4.0,1.0
60-69,NHS Highland,S08000022,All Daycases,B,2018-07-01,38.0,36.0,1.06
70-79,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-10-01,136.0,87.0,1.56
80-89,NHS Ayrshire & Arran,S08000015,All Daycases,B,2018-07-01,46.0,44.0,1.05
80-89,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-04-01,1289.0,235.0,5.49
60-69,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-10-01,736.0,360.0,2.04
10-19,NHS Grampian,S08000020,All Daycases,A,2018-07-01,12.0,11.0,1.09
40-49,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-07-01,309.0,154.0,2.01
30-39,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-07-01,180.0,127.0,1.42
90+,NHS Lanarkshire,S08000023,All Daycases,A,2018-04-01,14.0,14.0,1.0
70-79,NHS Highland,S08000022,All Daycases,B,2018-07-01,45.0,43.0,1.05
70-79,NHS Dumfries & Galloway,S08000017,All Daycases,A,2019-01-01,27.0,26.0,1.04
80-89,NHS Ayrshire & Arran,S08000015,Emergency Inpatients,B,2018-07-01,372.0,55.0,6.76
90+,NHS Grampian,S08000020,Emergency Inpatients,B,2019-01-01,143.0,12.0,11.92
80-89,NHS Lothian,S08000024,All Daycases,B,2019-01-01,89.0,84.0,1.06
20-29,NHS Fife,S08000029,Elective Inpatients,A,2018-04-01,5.0,5.0,1.0
20-29,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-07-01,94.0,87.0,1.08
20-29,NHS Fife,S08000029,Elective Inpatients,A,2018-07-01,5.0,5.0,1.0
90+,NHS Highland,S08000022,All Daycases,A,2018-10-01,5.0,5.0,1.0
50-59,NHS Fife,S08000029,Elective Inpatients,A,2019-01-01,15.0,13.0,1.15
80-89,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-07-01,159.0,50.0,3.18
60-69,NHS Lanarkshire,S08000023,Elective Inpatients,B,2018-04-01,33.0,32.0,1.03
90+,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-04-01,428.0,45.0,9.51
30-39,NHS Forth Valley,S08000019,Emergency Inpatients,B,2019-01-01,32.0,15.0,2.13
20-29,NHS Tayside,S08000030,Emergency Inpatients,B,2019-01-01,32.0,20.0,1.6
0-9,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2019-01-01,26.0,26.0,1.0
30-39,NHS Fife,S08000029,Elective Inpatients,A,2018-07-01,6.0,6.0,1.0
20-29,NHS Ayrshire & Arran,S08000015,Emergency Inpatients,A,2019-01-01,44.0,28.0,1.57
80-89,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-10-01,1299.0,227.0,5.72
40-49,NHS Lanarkshire,S08000023,All Daycases,A,2018-04-01,56.0,55.0,1.02
20-29,NHS Tayside,S08000030,All Daycases,A,2018-10-01,18.0,17.0,1.06
70-79,NHS Highland,S08000022,Elective Inpatients,B,2018-10-01,22.0,13.0,1.69
80-89,NHS Borders,S08000016,All Daycases,A,2018-04-01,12.0,12.0,1.0
10-19,NHS Forth Valley,S08000019,Elective Inpatients,B,2019-01-01,2.0,2.0,1.0
60-69,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2018-07-01,98.0,87.0,1.13
0-9,NHS Ayrshire & Arran,S08000015,All Daycases,B,2019-01-01,7.0,7.0,1.0
70-79,NHS Orkney,S08000025,All Daycases,A,2019-01-01,5.0,5.0,1.0
70-79,NHS Ayrshire & Arran,S08000015,Emergency Inpatients,A,2019-01-01,399.0,85.0,4.69
20-29,NHS Tayside,S08000030,Emergency Inpatients,A,2018-10-01,39.0,21.0,1.86
90+,NHS Orkney,S08000025,All Daycases,A,2018-07-01,1.0,1.0,1.0
10-19,NHS Tayside,S08000030,All Daycases,A,2018-04-01,7.0,7.0,1.0
40-49,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2019-01-01,43.0,40.0,1.08
80-89,NHS Shetland,S08000026,All Daycases,A,2018-10-01,3.0,3.0,1.0
30-39,NHS Dumfries & Galloway,S08000017,All Daycases,A,2018-07-01,10.0,10.0,1.0
40-49,NHS Tayside,S08000030,Elective Inpatients,B,2018-07-01,10.0,8.0,1.25
0-9,NHS Fife,S08000029,Emergency Inpatients,A,2019-01-01,6.0,6.0,1.0
40-49,NHS Grampian,S08000020,All Daycases,A,2018-10-01,41.0,40.0,1.02
90+,NHS Highland,S08000022,Emergency Inpatients,A,2018-07-01,90.0,7.0,12.86
60-69,NHS Borders,S08000016,Emergency Inpatients,B,2018-07-01,51.0,20.0,2.55
80-89,NHS Grampian,S08000020,All Daycases,B,2018-04-01,51.0,49.0,1.04
60-69,NHS Orkney,S08000025,Emergency Inpatients,A,2018-04-01,10.0,5.0,2.0
60-69,NHS Orkney,S08000025,Emergency Inpatients,A,2019-01-01,9.0,5.0,1.8
20-29,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,A,2019-01-01,16.0,9.0,1.78
0-9,NHS Shetland,S08000026,Emergency Inpatients,A,2018-07-01,1.0,1.0,1.0
30-39,NHS Highland,S08000022,All Daycases,A,2019-01-01,18.0,17.0,1.06
80-89,NHS Grampian,S08000020,Emergency Inpatients,B,2018-10-01,415.0,61.0,6.8
40-49,NHS Lothian,S08000024,Elective Inpatients,B,2018-10-01,20.0,20.0,1.0
50-59,NHS Fife,S08000029,Emergency Inpatients,B,2018-10-01,107.0,50.0,2.14
60-69,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2019-01-01,301.0,282.0,1.07
30-39,NHS Lothian,S08000024,Emergency Inpatients,B,2018-07-01,108.0,57.0,1.89
30-39,NHS Lothian,S08000024,Elective Inpatients,B,2018-07-01,16.0,16.0,1.0
50-59,NHS Grampian,S08000020,Elective Inpatients,A,2018-04-01,22.0,17.0,1.29
40-49,NHS Lothian,S08000024,Emergency Inpatients,A,2018-07-01,176.0,79.0,2.23
20-29,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-07-01,4.0,3.0,1.33
0-9,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-07-01,23.0,22.0,1.05
20-29,NHS Highland,S08000022,Elective Inpatients,B,2018-07-01,4.0,4.0,1.0
60-69,NHS Ayrshire & Arran,S08000015,All Daycases,A,2018-04-01,71.0,70.0,1.01
70-79,NHS Lothian,S08000024,Elective Inpatients,B,2018-04-01,75.0,39.0,1.92
60-69,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2018-10-01,111.0,80.0,1.39
90+,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-07-01,43.0,42.0,1.02
30-39,NHS Tayside,S08000030,Elective Inpatients,B,2018-07-01,6.0,6.0,1.0
60-69,NHS Lanarkshire,S08000023,All Daycases,B,2018-10-01,118.0,115.0,1.03
80-89,NHS Dumfries & Galloway,S08000017,Elective Inpatients,A,2018-07-01,20.0,5.0,4.0
10-19,NHS Shetland,S08000026,Emergency Inpatients,A,2018-10-01,1.0,1.0,1.0
70-79,NHS Highland,S08000022,All Daycases,B,2018-10-01,45.0,44.0,1.02
50-59,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2019-01-01,78.0,71.0,1.1
30-39,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2019-01-01,67.0,50.0,1.34
50-59,NHS Fife,S08000029,Emergency Inpatients,A,2018-04-01,116.0,51.0,2.27
0-9,NHS Grampian,S08000020,Elective Inpatients,A,2018-10-01,2.0,2.0,1.0
90+,NHS Highland,S08000022,All Daycases,A,2018-07-01,6.0,6.0,1.0
90+,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2018-10-01,19.0,3.0,6.33
90+,NHS Tayside,S08000030,Elective Inpatients,A,2019-01-01,17.0,3.0,5.67
40-49,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2018-04-01,41.0,40.0,1.02
90+,NHS Grampian,S08000020,All Daycases,A,2019-01-01,11.0,11.0,1.0
30-39,NHS Dumfries & Galloway,S08000017,All Daycases,A,2018-10-01,11.0,10.0,1.1
50-59,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-04-01,279.0,257.0,1.09
90+,NHS Borders,S08000016,All Daycases,B,2018-07-01,3.0,3.0,1.0
20-29,NHS Lanarkshire,S08000023,Elective Inpatients,B,2019-01-01,10.0,9.0,1.11
10-19,NHS Highland,S08000022,All Daycases,A,2018-10-01,6.0,6.0,1.0
90+,NHS Grampian,S08000020,Emergency Inpatients,B,2018-07-01,135.0,11.0,12.27
20-29,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-10-01,4.0,3.0,1.33
90+,NHS Borders,S08000016,All Daycases,A,2018-10-01,3.0,3.0,1.0
70-79,NHS Tayside,S08000030,All Daycases,B,2018-10-01,61.0,57.0,1.07
30-39,NHS Fife,S08000029,Emergency Inpatients,A,2018-04-01,36.0,25.0,1.44
60-69,NHS Lanarkshire,S08000023,Elective Inpatients,B,2018-10-01,36.0,33.0,1.09
50-59,NHS Orkney,S08000025,All Daycases,A,2018-07-01,4.0,4.0,1.0
70-79,NHS Dumfries & Galloway,S08000017,All Daycases,A,2018-04-01,30.0,29.0,1.03
70-79,NHS Orkney,S08000025,Emergency Inpatients,A,2018-10-01,15.0,6.0,2.5
60-69,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-04-01,810.0,324.0,2.5
40-49,NHS Highland,S08000022,Emergency Inpatients,A,2019-01-01,57.0,25.0,2.28
30-39,NHS Tayside,S08000030,All Daycases,A,2018-07-01,21.0,19.0,1.11
60-69,NHS Ayrshire & Arran,S08000015,All Daycases,A,2019-01-01,73.0,71.0,1.03
10-19,NHS Lanarkshire,S08000023,All Daycases,B,2018-10-01,16.0,15.0,1.07
10-19,NHS Lothian,S08000024,Elective Inpatients,A,2018-10-01,5.0,5.0,1.0
80-89,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-07-01,566.0,83.0,6.82
80-89,NHS Lothian,S08000024,Emergency Inpatients,A,2019-01-01,821.0,113.0,7.27
10-19,NHS Shetland,S08000026,Emergency Inpatients,A,2018-04-01,1.0,1.0,1.0
30-39,NHS Shetland,S08000026,Emergency Inpatients,B,2018-07-01,2.0,2.0,1.0
50-59,NHS Fife,S08000029,Elective Inpatients,A,2018-07-01,14.0,12.0,1.17
40-49,NHS Fife,S08000029,Emergency Inpatients,B,2018-07-01,55.0,26.0,2.12
50-59,NHS Borders,S08000016,Emergency Inpatients,B,2018-04-01,35.0,15.0,2.33
0-9,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2019-01-01,34.0,32.0,1.06
40-49,NHS Fife,S08000029,Emergency Inpatients,B,2018-04-01,57.0,31.0,1.84
90+,NHS Tayside,S08000030,All Daycases,A,2018-07-01,8.0,7.0,1.14
80-89,NHS Forth Valley,S08000019,All Daycases,A,2019-01-01,22.0,22.0,1.0
90+,NHS Grampian,S08000020,Emergency Inpatients,B,2018-10-01,129.0,11.0,11.73
90+,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-10-01,480.0,50.0,9.6
60-69,NHS Forth Valley,S08000019,All Daycases,B,2019-01-01,29.0,27.0,1.07
70-79,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2019-01-01,340.0,316.0,1.08
40-49,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-10-01,46.0,45.0,1.02
10-19,NHS Dumfries & Galloway,S08000017,Emergency Inpatients,A,2018-10-01,6.0,5.0,1.2
0-9,NHS Highland,S08000022,Emergency Inpatients,B,2019-01-01,5.0,4.0,1.25
30-39,NHS Lanarkshire,S08000023,Emergency Inpatients,B,2018-07-01,58.0,50.0,1.16
40-49,NHS Ayrshire & Arran,S08000015,All Daycases,B,2018-07-01,34.0,33.0,1.03
80-89,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-07-01,32.0,7.0,4.57
30-39,NHS Grampian,S08000020,All Daycases,A,2018-07-01,30.0,29.0,1.03
10-19,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2018-04-01,3.0,3.0,1.0
80-89,NHS Fife,S08000029,Emergency Inpatients,A,2018-04-01,288.0,38.0,7.58
60-69,NHS Orkney,S08000025,Emergency Inpatients,A,2018-10-01,10.0,5.0,2.0
30-39,NHS Highland,S08000022,All Daycases,A,2018-10-01,17.0,16.0,1.06
70-79,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2018-04-01,483.0,158.0,3.06
10-19,NHS Tayside,S08000030,All Daycases,A,2018-10-01,8.0,8.0,1.0
50-59,NHS Ayrshire & Arran,S08000015,All Daycases,B,2018-04-01,67.0,62.0,1.08
70-79,NHS Highland,S08000022,Elective Inpatients,B,2019-01-01,23.0,12.0,1.92
80-89,NHS Forth Valley,S08000019,All Daycases,B,2018-04-01,19.0,18.0,1.06
50-59,NHS Tayside,S08000030,All Daycases,A,2018-10-01,52.0,48.0,1.08
10-19,NHS Lothian,S08000024,Emergency Inpatients,A,2018-10-01,29.0,22.0,1.32
80-89,NHS Highland,S08000022,All Daycases,A,2018-04-01,32.0,30.0,1.07
50-59,NHS Borders,S08000016,Emergency Inpatients,B,2019-01-01,40.0,15.0,2.67
60-69,NHS Lanarkshire,S08000023,Emergency Inpatients,A,2019-01-01,333.0,139.0,2.4
70-79,NHS Tayside,S08000030,Elective Inpatients,B,2019-01-01,40.0,17.0,2.35
20-29,NHS Dumfries & Galloway,S08000017,All Daycases,B,2018-10-01,8.0,8.0,1.0
40-49,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,A,2018-07-01,42.0,41.0,1.02
50-59,NHS Borders,S08000016,Elective Inpatients,B,2018-10-01,5.0,4.0,1.25
70-79,NHS Grampian,S08000020,Emergency Inpatients,A,2019-01-01,446.0,91.0,4.9
60-69,NHS Highland,S08000022,All Daycases,A,2018-07-01,41.0,38.0,1.08
80-89,NHS Lanarkshire,S08000023,Elective Inpatients,A,2018-07-01,65.0,23.0,2.83
80-89,NHS Lothian,S08000024,All Daycases,B,2018-07-01,95.0,89.0,1.07
90+,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-04-01,11.0,2.0,5.5
40-49,NHS Lothian,S08000024,Elective Inpatients,B,2019-01-01,21.0,18.0,1.17
40-49,NHS Greater Glasgow & Clyde,S08000021,Elective Inpatients,B,2018-04-01,43.0,42.0,1.02
90+,NHS Fife,S08000029,Emergency Inpatients,A,2018-07-01,103.0,9.0,11.44
10-19,NHS Greater Glasgow & Clyde,S08000021,All Daycases,B,2018-07-01,37.0,36.0,1.03
20-29,NHS Grampian,S08000020,Elective Inpatients,A,2018-07-01,8.0,7.0,1.14
50-59,NHS Orkney,S08000025,Elective Inpatients,A,2018-10-01,1.0,1.0,1.0
30-39,NHS Fife,S08000029,Elective Inpatients,A,2019-01-01,6.0,6.0,1.0
0-9,NHS Forth Valley,S08000019,Elective Inpatients,A,2018-10-01,1.0,1.0,1.0
90+,NHS Lothian,S08000024,All Daycases,A,2018-10-01,20.0,19.0,1.05
70-79,NHS Highland,S08000022,Emergency Inpatients,B,2018-10-01,193.0,45.0,4.29
80-89,NHS Dumfries & Galloway,S08000017,Elective Inpatients,B,2019-01-01,18.0,5.0,3.6
90+,NHS Dumfries & Galloway,S08000017,Elective Inpatients,B,2018-04-01,6.0,1.0,6.0
60-69,NHS Highland,S08000022,All Daycases,A,2018-04-01,47.0,45.0,1.04
40-49,NHS Borders,S08000016,All Daycases,B,2018-10-01,9.0,8.0,1.12
20-29,NHS Fife,S08000029,Elective Inpatients,A,2018-10-01,5.0,5.0,1.0
90+,NHS Borders,S08000016,All Daycases,A,2018-07-01,3.0,3.0,1.0
30-39,NHS Shetland,S08000026,Emergency Inpatients,B,2018-04-01,2.0,2.0,1.0
50-59,NHS Highland,S08000022,All Daycases,A,2018-04-01,33.0,31.0,1.06
20-29,NHS Lothian,S08000024,Emergency Inpatients,B,2018-10-01,75.0,43.0,1.74
30-39,NHS Fife,S08000029,All Daycases,B,2019-01-01,19.0,18.0,1.06
90+,NHS Tayside,S08000030,Elective Inpatients,A,2018-10-01,16.0,3.0,5.33
50-59,NHS Lanarkshire,S08000023,Elective Inpatients,A,2018-07-01,32.0,30.0,1.07
50-59,NHS Highland,S08000022,Emergency Inpatients,A,2018-04-01,101.0,46.0,2.2
30-39,NHS Fife,S08000029,Elective Inpatients,A,2018-10-01,7.0,6.0,1.17
20-29,NHS Shetland,S08000026,Emergency Inpatients,A,2018-07-01,2.0,2.0,1.0
60-69,NHS Forth Valley,S08000019,All Daycases,B,2018-07-01,32.0,30.0,1.07
40-49,NHS Lothian,S08000024,All Daycases,A,2019-01-01,72.0,69.0,1.04
70-79,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2019-01-01,1573.0,415.0,3.79
50-59,NHS Ayrshire & Arran,S08000015,Elective Inpatients,A,2019-01-01,21.0,19.0,1.11
80-89,NHS Highland,S08000022,All Daycases,A,2018-10-01,25.0,25.0,1.0
40-49,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-07-01,316.0,178.0,1.78
10-19,NHS Highland,S08000022,Elective Inpatients,A,2018-10-01,2.0,2.0,1.0
50-59,NHS Borders,S08000016,All Daycases,B,2018-04-01,13.0,13.0,1.0
50-59,NHS Lanarkshire,S08000023,Elective Inpatients,A,2018-10-01,28.0,26.0,1.08
20-29,NHS Lanarkshire,S08000023,Elective Inpatients,B,2018-07-01,11.0,10.0,1.1
30-39,NHS Lothian,S08000024,All Daycases,B,2019-01-01,44.0,44.0,1.0
70-79,NHS Borders,S08000016,Elective Inpatients,A,2018-10-01,12.0,5.0,2.4
90+,NHS Greater Glasgow & Clyde,S08000021,All Daycases,A,2018-10-01,42.0,39.0,1.08
60-69,NHS Tayside,S08000030,Elective Inpatients,B,2018-04-01,28.0,16.0,1.75
10-19,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,B,2018-10-01,51.0,50.0,1.02
90+,NHS Lanarkshire,S08000023,All Daycases,A,2018-07-01,17.0,16.0,1.06
10-19,NHS Lothian,S08000024,Elective Inpatients,A,2019-01-01,5.0,5.0,1.0
80-89,NHS Forth Valley,S08000019,All Daycases,B,2018-07-01,21.0,20.0,1.05
70-79,NHS Greater Glasgow & Clyde,S08000021,Emergency Inpatients,A,2018-07-01,1392.0,396.0,3.52
30-39,NHS Highland,S08000022,Emergency Inpatients,B,2019-01-01,29.0,20.0,1.45
