PaidDateMonth,HB2014Name,GPPracticeName,BNFItemCode,BNFItemDescription,NumberOfPaidItems
2019-08-01,NHS Grampian,DENBURN MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Grampian,DENBURN MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,16
2019-08-01,NHS Grampian,DENBURN MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,2
2019-08-01,NHS Grampian,DENBURN MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,75
2019-08-01,NHS Grampian,DENBURN MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,8
2019-08-01,NHS Grampian,WHINHILL MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,15
2019-08-01,NHS Grampian,WHINHILL MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Grampian,WHINHILL MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,12
2019-08-01,NHS Grampian,WHINHILL MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,17
2019-08-01,NHS Grampian,WHINHILL MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,2
2019-08-01,NHS Grampian,ELMBANK GROUP PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,51
2019-08-01,NHS Grampian,ELMBANK GROUP PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,2
2019-08-01,NHS Grampian,ELMBANK GROUP PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,24
2019-08-01,NHS Grampian,ELMBANK GROUP PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,51
2019-08-01,NHS Grampian,ELMBANK GROUP PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,10
2019-08-01,NHS Grampian,HAMILTON MEDICAL GROUP,0208020Y0BBACAC,XARELTO_TAB 20MG,30
2019-08-01,NHS Grampian,HAMILTON MEDICAL GROUP,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Grampian,HAMILTON MEDICAL GROUP,0208020Z0BBABAB,ELIQUIS_TAB 5MG,14
2019-08-01,NHS Grampian,HAMILTON MEDICAL GROUP,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,3
2019-08-01,NHS Grampian,HAMILTON MEDICAL GROUP,21480000100,FREESTYLE LIBRE SENSOR KIT,6
2019-08-01,NHS Grampian,BUCKSBURN MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,7
2019-08-01,NHS Grampian,BUCKSBURN MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,31
2019-08-01,NHS Grampian,BUCKSBURN MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,3
2019-08-01,NHS Grampian,NEW DYCE MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,42
2019-08-01,NHS Grampian,NEW DYCE MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Grampian,NEW DYCE MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,25
2019-08-01,NHS Grampian,WESTBURN MEDICAL GROUP,0208020Y0BBACAC,XARELTO_TAB 20MG,8
2019-08-01,NHS Grampian,WESTBURN MEDICAL GROUP,0208020Y0BBACAC,XARELTO_TAB 20MG,2
2019-08-01,NHS Grampian,WESTBURN MEDICAL GROUP,0208020Z0BBABAB,ELIQUIS_TAB 5MG,11
2019-08-01,NHS Grampian,WESTBURN MEDICAL GROUP,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,22
2019-08-01,NHS Grampian,WESTBURN MEDICAL GROUP,21480000100,FREESTYLE LIBRE SENSOR KIT,8
2019-08-01,NHS Grampian,NEW DYCE MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,47
2019-08-01,NHS Grampian,NEW DYCE MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,8
2019-08-01,NHS Grampian,TORRY MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,20
2019-08-01,NHS Grampian,TORRY MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Grampian,TORRY MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,6
2019-08-01,NHS Grampian,TORRY MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,16
2019-08-01,NHS Grampian,TORRY MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,5
2019-08-01,NHS Highland,THURSO & HALKIRK MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,4
2019-08-01,NHS Highland,THURSO & HALKIRK MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,28
2019-08-01,NHS Highland,THURSO & HALKIRK MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Highland,THURSO & HALKIRK MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,3
2019-08-01,NHS Highland,THURSO & HALKIRK MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,2
2019-08-01,NHS Highland,RIVERBANK SURGERY,21480000100,FREESTYLE LIBRE SENSOR KIT,7
2019-08-01,NHS Highland,THURSO & HALKIRK MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,8
2019-08-01,NHS Highland,RIVERBANK SURGERY,0208020Y0BBACAC,XARELTO_TAB 20MG,47
2019-08-01,NHS Highland,RIVERBANK SURGERY,0208020Y0BBACAC,XARELTO_TAB 20MG,7
2019-08-01,NHS Highland,RIVERBANK SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,6
2019-08-01,NHS Highland,RIVERBANK SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,1
2019-08-01,NHS Highland,RIVERBANK SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,6
2019-08-01,NHS Highland,NAIRN HEALTHCARE GROUP,0208020Y0BBACAC,XARELTO_TAB 20MG,78
2019-08-01,NHS Highland,NAIRN HEALTHCARE GROUP,0208020Z0BBABAB,ELIQUIS_TAB 5MG,12
2019-08-01,NHS Highland,NAIRN HEALTHCARE GROUP,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,22
2019-08-01,NHS Highland,NAIRN HEALTHCARE GROUP,21480000100,FREESTYLE LIBRE SENSOR KIT,9
2019-08-01,NHS Highland,DUNBEATH SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,2
2019-08-01,NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,6
2019-08-01,NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,2
2019-08-01,NHS Highland,LYBSTER MEDICAL CENTRE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,12
2019-08-01,NHS Highland,LYBSTER MEDICAL CENTRE,21480000100,FREESTYLE LIBRE SENSOR KIT,1
2019-08-01,NHS Highland,RIVERVIEW MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,16
2019-08-01,NHS Highland,RIVERVIEW MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,2
2019-08-01,NHS Highland,RIVERVIEW MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,4
2019-08-01,NHS Highland,RIVERVIEW MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,33
2019-08-01,NHS Highland,RIVERVIEW MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,9
2019-08-01,NHS Highland,THE PEARSON PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,7
2019-08-01,NHS Highland,THE PEARSON PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,1
2019-08-01,NHS Highland,THE PEARSON PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,3
2019-08-01,NHS Highland,THE PEARSON PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,18
2019-08-01,NHS Highland,THE PEARSON PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,4
2019-08-01,NHS Highland,ARMADALE MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,10
2019-08-01,NHS Highland,ARMADALE MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,4
2019-08-01,NHS Highland,ARMADALE MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,2
2019-08-01,NHS Highland,DORNOCH MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,32
2019-08-01,NHS Highland,DORNOCH MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,17
2019-08-01,NHS Highland,DORNOCH MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,5
2019-08-01,NHS Highland,DORNOCH MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,9
2019-08-01,NHS Highland,DORNOCH MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,2
2019-08-01,NHS Lothian,BRAIDS MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,4
2019-08-01,NHS Lothian,BRAIDS MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,42
2019-08-01,NHS Lothian,BRAIDS MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,43
2019-08-01,NHS Lothian,BRAIDS MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,25
2019-08-01,NHS Lothian,THE GREEN PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,2
2019-08-01,NHS Lothian,THE GREEN PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,28
2019-08-01,NHS Lothian,THE GREEN PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,28
2019-08-01,NHS Lothian,THE GREEN PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,17
2019-08-01,NHS Lothian,LEVEN MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,10
2019-08-01,NHS Lothian,LEVEN MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,32
2019-08-01,NHS Lothian,LEVEN MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,10
2019-08-01,NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,28
2019-08-01,NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,21
2019-08-01,NHS Lothian,SOUTHFIELD MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,7
2019-08-01,NHS Lothian,COLINTON SURGERY,0208020Y0BBACAC,XARELTO_TAB 20MG,6
2019-08-01,NHS Lothian,COLINTON SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,58
2019-08-01,NHS Lothian,COLINTON SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,54
2019-08-01,NHS Lothian,COLINTON SURGERY,21480000100,FREESTYLE LIBRE SENSOR KIT,20
2019-08-01,NHS Lothian,FERNIEHILL SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,41
2019-08-01,NHS Lothian,FERNIEHILL SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,1
2019-08-01,NHS Lothian,FERNIEHILL SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,11
2019-08-01,NHS Lothian,FERNIEHILL SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,23
2019-08-01,NHS Lothian,FERNIEHILL SURGERY,21480000100,FREESTYLE LIBRE SENSOR KIT,13
2019-08-01,NHS Lothian,LEITH SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,22
2019-08-01,NHS Lothian,LEITH SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,3
2019-08-01,NHS Lothian,LEITH SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,43
2019-08-01,NHS Lothian,LEITH SURGERY,21480000100,FREESTYLE LIBRE SENSOR KIT,22
2019-08-01,NHS Lothian,NIDDRIE MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,12
2019-08-01,NHS Lothian,NIDDRIE MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,1
2019-08-01,NHS Lothian,NIDDRIE MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,22
2019-08-01,NHS Lothian,NIDDRIE MEDICAL PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,9
2019-08-01,NHS Lothian,CRAIGMILLAR MEDICAL GROUP,0208020Z0BBABAB,ELIQUIS_TAB 5MG,24
2019-08-01,NHS Lothian,CRAIGMILLAR MEDICAL GROUP,0208020Z0BBABAB,ELIQUIS_TAB 5MG,1
2019-08-01,NHS Lothian,CRAIGMILLAR MEDICAL GROUP,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,1
2019-08-01,NHS Lothian,CRAIGMILLAR MEDICAL GROUP,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,80
2019-08-01,NHS Lothian,CRAIGMILLAR MEDICAL GROUP,21480000100,FREESTYLE LIBRE SENSOR KIT,11
2019-08-01,NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),0208020Z0BBABAB,ELIQUIS_TAB 5MG,68
2019-08-01,NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),0208020Z0BBABAB,ELIQUIS_TAB 5MG,1
2019-08-01,NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,18
2019-08-01,NHS Lothian,LADYWELL MEDICAL CENTRE (WEST),21480000100,FREESTYLE LIBRE SENSOR KIT,25
2019-08-01,NHS Orkney,SKERRYVORE PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,19
2019-08-01,NHS Orkney,SKERRYVORE PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,15
2019-08-01,NHS Orkney,SKERRYVORE PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,27
2019-08-01,NHS Orkney,SKERRYVORE PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,18
2019-08-01,NHS Orkney,STROMNESS SURGERY,0208020Y0BBACAC,XARELTO_TAB 20MG,15
2019-08-01,NHS Orkney,STROMNESS SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,5
2019-08-01,NHS Orkney,STROMNESS SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,1
2019-08-01,NHS Orkney,STROMNESS SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,18
2019-08-01,NHS Orkney,STROMNESS SURGERY,21480000100,FREESTYLE LIBRE SENSOR KIT,4
2019-08-01,NHS Orkney,DAISY VILLA,0208020Y0BBACAC,XARELTO_TAB 20MG,4
2019-08-01,NHS Orkney,DAISY VILLA,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,1
2019-08-01,NHS Orkney,DAISY VILLA,21480000100,FREESTYLE LIBRE SENSOR KIT,2
2019-08-01,NHS Orkney,ISLANDS VIEW SURGERY,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Orkney,ISLANDS VIEW SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,2
2019-08-01,NHS Orkney,ISLANDS VIEW SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,1
2019-08-01,NHS Orkney,HEILENDI PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,25
2019-08-01,NHS Orkney,HEILENDI PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,18
2019-08-01,NHS Orkney,HEILENDI PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,1
2019-08-01,NHS Orkney,HEILENDI PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,16
2019-08-01,NHS Orkney,HEILENDI PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,9
2019-08-01,NHS Orkney,DOUNBY SURGERY,0208020Y0BBACAC,XARELTO_TAB 20MG,10
2019-08-01,NHS Orkney,DOUNBY SURGERY,0208020Z0BBABAB,ELIQUIS_TAB 5MG,21
2019-08-01,NHS Orkney,DOUNBY SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,3
2019-08-01,NHS Orkney,DOUNBY SURGERY,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,3
2019-08-01,NHS Orkney,DOUNBY SURGERY,21480000100,FREESTYLE LIBRE SENSOR KIT,1
2019-08-01,NHS Orkney,ORCADES PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,8
2019-08-01,NHS Orkney,ORCADES PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,1
2019-08-01,NHS Orkney,ORCADES PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,9
2019-08-01,NHS Orkney,ORCADES PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,15
2019-08-01,NHS Orkney,ORCADES PRACTICE,21480000100,FREESTYLE LIBRE SENSOR KIT,1
2019-08-01,NHS Shetland,YELL HEALTH CENTRE,0208020Y0BBACAC,XARELTO_TAB 20MG,4
2019-08-01,NHS Shetland,YELL HEALTH CENTRE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,2
2019-08-01,NHS Shetland,YELL HEALTH CENTRE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,3
2019-08-01,NHS Shetland,YELL HEALTH CENTRE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,11
2019-08-01,NHS Shetland,WHALSAY HEALTH CENTRE,0208020Y0BBACAC,XARELTO_TAB 20MG,11
2019-08-01,NHS Shetland,WHALSAY HEALTH CENTRE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,12
2019-08-01,NHS Shetland,WHALSAY HEALTH CENTRE,21480000100,FREESTYLE LIBRE SENSOR KIT,1
2019-08-01,NHS Shetland,HILLSWICK HEALTH CENTRE,0208020Y0BBACAC,XARELTO_TAB 20MG,4
2019-08-01,NHS Shetland,HILLSWICK HEALTH CENTRE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,2
2019-08-01,NHS Shetland,HILLSWICK HEALTH CENTRE,21480000100,FREESTYLE LIBRE SENSOR KIT,1
2019-08-01,NHS Shetland,BRAE MEDICAL PRACTICE,0208020Y0BBACAC,XARELTO_TAB 20MG,13
2019-08-01,NHS Shetland,BRAE MEDICAL PRACTICE,0208020Z0BBABAB,ELIQUIS_TAB 5MG,10
2019-08-01,NHS Shetland,BRAE MEDICAL PRACTICE,0302000C0BQAABX,FOSTAIR_INH 100MCG/6MCG (120D) CFF,12
