HB2014Name,GPPracticeName,HB2014,BNFItemDescription,BNFItemCode,PaidDateMonth,NumberOfPaidItems
NHS Tayside,THE ABBEY PRACTICE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,12
NHS Tayside,THE ABBEY PRACTICE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Tayside,THE ABBEY PRACTICE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,11
NHS Tayside,THE ABBEY PRACTICE,S08000030,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Western Isles,BARRA MEDICAL PRACTICE,S08000028,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,30
NHS Western Isles,BARRA MEDICAL PRACTICE,S08000028,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,29
NHS Western Isles,BARRA MEDICAL PRACTICE,S08000028,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,30
NHS Western Isles,BARRA MEDICAL PRACTICE,S08000028,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,32
NHS Western Isles,BARRA MEDICAL PRACTICE,S08000028,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,28
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,6
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,6
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,6
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Forth Valley,FORTHVIEW PRACTICE,S08000019,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,8
NHS Orkney,ORCADES PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Orkney,ORCADES PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,33
NHS Orkney,ORCADES PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,31
NHS Orkney,ORCADES PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,27
NHS Orkney,ORCADES PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,27
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,18
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,16
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Greater Glasgow and Clyde,PENNAN PRACTICE,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,16
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,11
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,18
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,18
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Tayside,"EAST PRACTICE, SPRINGFIELD MEDICAL CENTRE",S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,33
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,32
NHS Ayrshire and Arran,CENTRAL AVENUE SURGERY,S08000015,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,30
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Borders,O'CONNELL STREET MEDICAL PRACTICE,S08000016,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Ayrshire and Arran,TAM'S BRIG SURGERY,S08000015,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,6
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,6
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,8
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,7
NHS Shetland,LERWICK HEALTH CENTRE,S08000026,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Orkney,HEILENDI PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
NHS Orkney,HEILENDI PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,27
NHS Orkney,HEILENDI PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,29
NHS Orkney,HEILENDI PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,27
NHS Orkney,HEILENDI PRACTICE,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,33
NHS Shetland,HILLSWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,33
NHS Shetland,HILLSWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Shetland,HILLSWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,33
NHS Shetland,HILLSWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,27
NHS Shetland,HILLSWICK HEALTH CENTRE,S08000026,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,31
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,S08000028,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,13
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,S08000028,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,11
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,S08000028,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,13
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,S08000028,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,12
NHS Western Isles,SOUTH UIST MEDICAL PRACTICE,S08000028,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,12
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,18
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Orkney,DOUNBY SURGERY,S08000025,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Grampian,HAMILTON MEDICAL GROUP,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,11
NHS Grampian,HAMILTON MEDICAL GROUP,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Grampian,HAMILTON MEDICAL GROUP,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,11
NHS Grampian,HAMILTON MEDICAL GROUP,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,11
NHS Grampian,HAMILTON MEDICAL GROUP,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Orkney,STROMNESS SURGERY,S08000025,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,7
NHS Orkney,STROMNESS SURGERY,S08000025,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,8
NHS Orkney,STROMNESS SURGERY,S08000025,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,7
NHS Orkney,STROMNESS SURGERY,S08000025,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,8
NHS Orkney,STROMNESS SURGERY,S08000025,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,6
NHS Borders,THE NEIDPATH PRACTICE,S08000016,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,7
NHS Borders,THE NEIDPATH PRACTICE,S08000016,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,6
NHS Borders,THE NEIDPATH PRACTICE,S08000016,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,6
NHS Borders,THE NEIDPATH PRACTICE,S08000016,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,6
NHS Borders,THE NEIDPATH PRACTICE,S08000016,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,8
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,16
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,18
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Lanarkshire,DRS TIERNEY & CANNING,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,17
NHS Borders,JEDBURGH MEDICAL PRACTICE,S08000016,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,12
NHS Borders,JEDBURGH MEDICAL PRACTICE,S08000016,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,13
NHS Borders,JEDBURGH MEDICAL PRACTICE,S08000016,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Borders,JEDBURGH MEDICAL PRACTICE,S08000016,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,13
NHS Borders,JEDBURGH MEDICAL PRACTICE,S08000016,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,17
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,18
NHS Tayside,ALYTH HEALTH CENTRE,S08000030,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,18
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,18
NHS Greater Glasgow and Clyde,DRS REID & MACLAREN PARTNERSHIP,S08000031,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Grampian,NEW DYCE MEDICAL PRACTICE,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-04-01,11
NHS Grampian,NEW DYCE MEDICAL PRACTICE,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-05-01,11
NHS Grampian,NEW DYCE MEDICAL PRACTICE,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-06-01,12
NHS Grampian,NEW DYCE MEDICAL PRACTICE,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-07-01,11
NHS Grampian,NEW DYCE MEDICAL PRACTICE,S08000020,XARELTO_TAB 20MG,0208020Y0BBACAC,2019-08-01,13
NHS Fife,THE LINKS PRACTICE,S08000029,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,17
NHS Fife,THE LINKS PRACTICE,S08000029,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Fife,THE LINKS PRACTICE,S08000029,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,17
NHS Fife,THE LINKS PRACTICE,S08000029,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,17
NHS Fife,THE LINKS PRACTICE,S08000029,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,30
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,30
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,31
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,33
NHS Orkney,ISLANDS VIEW SURGERY,S08000025,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,32
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,S08000020,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-04-01,7
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,S08000020,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-05-01,7
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,S08000020,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-06-01,6
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,S08000020,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-07-01,8
NHS Grampian,BUCKSBURN MEDICAL PRACTICE,S08000020,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-08-01,8
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-04-01,6
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-05-01,8
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-06-01,8
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-07-01,7
NHS Highland,ARMADALE MEDICAL PRACTICE,S08000022,FREESTYLE LIBRE SENSOR KIT,21480000100,2019-08-01,7
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-04-01,7
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-05-01,6
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-06-01,7
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-07-01,8
NHS Ayrshire and Arran,BARNS MEDICAL PRACTICE,S08000015,NAPROXEN_TAB 500MG,1001010P0AAAEAE,2019-08-01,6
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-04-01,18
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-05-01,16
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-06-01,18
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-07-01,16
NHS Lanarkshire,JAMIESON MEDICAL PRACTICE,S08000032,ELIQUIS_TAB 5MG,0208020Z0BBABAB,2019-08-01,18
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,32
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,31
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,33
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,33
NHS Highland,CANISBAY & CASTLETOWN JOINT MEDICAL PRACTICE,S08000022,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,29
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,33
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-05-01,32
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-06-01,28
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-07-01,31
NHS Lanarkshire,NALAGATLA MEDICAL PRACTICE,S08000032,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-08-01,31
NHS Tayside,ABERFELDY AND KINLOCH RANNOCH MEDICAL PRACTICE,S08000030,FOSTAIR_INH 100MCG/6MCG (120D) CFF,0302000C0BQAABX,2019-04-01,29
