quarter_date,hb_code,hb_name,loc_code,loc_name,measure,eps,los,avlos
30/06/2018,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2285,6581,2.880087527
30/09/2018,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2161,5819,2.692734845
31/12/2018,S08000015,NHS Ayrshire & Arran,S08000015,NHS Ayrshire & Arran,Elective Inpatients,2196,5923,2.697176685
31/12/2013,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1159,3860,3.330457291
31/03/2014,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1183,3470,2.933220626
30/06/2014,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1223,4020,3.286999182
30/09/2014,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1117,3620,3.240823635
31/12/2014,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1199,4075,3.398665555
31/03/2015,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1103,3545,3.213961922
30/06/2015,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1119,3265,2.917783735
30/09/2015,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1039,2915,2.805582291
31/12/2015,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1063,3075,2.89275635
31/03/2016,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,937,3060,3.265741729
30/06/2016,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1041,3010,2.891450528
30/09/2016,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,975,2815,2.887179487
31/12/2016,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,1007,3120,3.098311817
31/03/2017,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,925,2540,2.745945946
30/06/2017,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,956,2630,2.751046025
30/09/2017,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,888,2480,2.792792793
31/12/2017,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,853,2600,3.048065651
31/03/2018,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,823,2020,2.454434994
30/06/2018,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,913,2800,3.066812705
30/09/2018,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,851,2225,2.614571093
31/12/2018,S08000015,NHS Ayrshire & Arran,S12000021,North Ayrshire,Elective Inpatients,838,2215,2.643198091
31/12/2014,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,0,0,NA
31/03/2015,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,0,5,NA
30/06/2015,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,0,5,NA
31/03/2017,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,0,27,NA
30/09/2017,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,5,5,1
31/12/2017,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,5,0,0
31/03/2018,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,0,0,NA
30/06/2018,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,5,0,0
30/09/2018,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,5,5,1
31/12/2018,S08000015,NHS Ayrshire & Arran,NA,Other,Elective Inpatients,10,15,1.5
31/12/2013,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,938,2825,3.011727079
31/03/2014,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,993,3235,3.257804632
30/06/2014,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,958,3500,3.653444676
30/09/2014,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,941,2645,2.810839532
31/12/2014,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,980,3295,3.362244898
31/03/2015,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,931,2630,2.824919441
30/06/2015,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,890,2640,2.966292135
30/09/2015,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,891,2450,2.749719416
31/12/2015,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,860,2710,3.151162791
31/03/2016,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,800,2165,2.70625
30/06/2016,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,771,2305,2.989623865
30/09/2016,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,747,2135,2.858099063
31/12/2016,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,775,2310,2.980645161
31/03/2017,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,760,2255,2.967105263
30/06/2017,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,736,2180,2.961956522
30/09/2017,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,769,2040,2.652795839
31/12/2017,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,740,2220,3
31/03/2018,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,680,1830,2.691176471
30/06/2018,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,665,1915,2.879699248
30/09/2018,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,653,1905,2.917304747
31/12/2018,S08000015,NHS Ayrshire & Arran,S12000028,South Ayrshire,Elective Inpatients,655,1835,2.801526718
31/12/2013,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,787,2048,2.602287166
31/03/2014,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,733,1883,2.568894952
30/06/2014,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,830,2212,2.665060241
30/09/2014,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,797,2239,2.809284818
31/12/2014,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,826,1988,2.406779661
31/03/2015,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,744,1986,2.669354839
30/06/2015,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,823,1928,2.342648846
30/09/2015,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,787,2049,2.603557814
31/12/2015,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,816,2261,2.770833333
31/03/2016,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,709,1685,2.376586742
30/06/2016,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,771,1785,2.315175097
30/09/2016,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,773,1866,2.413971539
31/12/2016,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,740,1982,2.678378378
31/03/2017,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,656,1607,2.449695122
30/06/2017,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,728,2006,2.755494505
30/09/2017,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,672,1726,2.568452381
31/12/2017,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,685,1586,2.315328467
31/03/2018,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,605,1483,2.451239669
30/06/2018,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,655,1491,2.276335878
30/09/2018,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,703,1652,2.349928876
31/12/2018,S08000016,NHS Borders,S08000016,NHS Borders,Elective Inpatients,723,1812,2.506224066
30/09/2016,S08000016,NHS Borders,NA,Other,Elective Inpatients,0,5,NA
31/12/2016,S08000016,NHS Borders,NA,Other,Elective Inpatients,0,5,NA
30/09/2017,S08000016,NHS Borders,NA,Other,Elective Inpatients,0,0,NA
31/03/2018,S08000016,NHS Borders,NA,Other,Elective Inpatients,0,7,NA
30/06/2018,S08000016,NHS Borders,NA,Other,Elective Inpatients,5,12,2.4
30/09/2018,S08000016,NHS Borders,NA,Other,Elective Inpatients,5,7,1.4
31/12/2018,S08000016,NHS Borders,NA,Other,Elective Inpatients,5,5,1
31/12/2013,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,787,2050,2.604828463
31/03/2014,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,733,1885,2.571623465
30/06/2014,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,830,2210,2.662650602
30/09/2014,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,797,2240,2.810539523
31/12/2014,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,826,1990,2.409200969
31/03/2015,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,744,1985,2.668010753
30/06/2015,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,823,1930,2.345078979
30/09/2015,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,787,2050,2.604828463
31/12/2015,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,816,2260,2.769607843
31/03/2016,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,709,1685,2.376586742
30/06/2016,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,771,1785,2.315175097
30/09/2016,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,770,1865,2.422077922
31/12/2016,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,740,1980,2.675675676
31/03/2017,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,656,1605,2.446646341
30/06/2017,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,728,2005,2.754120879
30/09/2017,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,670,1725,2.574626866
31/12/2017,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,685,1585,2.313868613
31/03/2018,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,605,1475,2.438016529
30/06/2018,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,650,1480,2.276923077
30/09/2018,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,700,1645,2.35
31/12/2018,S08000016,NHS Borders,S12000026,Scottish Borders,Elective Inpatients,720,1810,2.513888889
31/12/2013,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1203,3525,2.930174564
31/03/2014,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1203,3340,2.776392352
30/06/2014,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1340,3890,2.902985075
30/09/2014,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1296,3820,2.947530864
31/12/2014,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1262,4015,3.181458003
31/03/2015,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1238,3685,2.976575121
30/06/2015,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1138,3175,2.789982425
30/09/2015,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1207,3200,2.651201326
31/12/2015,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1213,3575,2.947238252
31/03/2016,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1153,3140,2.723330442
30/06/2016,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1232,3235,2.625811688
30/09/2016,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1268,3295,2.598580442
31/12/2016,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1124,3035,2.700177936
31/03/2017,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1097,2675,2.438468551
30/06/2017,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1110,2985,2.689189189
30/09/2017,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,1050,3120,2.971428571
31/12/2017,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,959,2505,2.612095933
31/03/2018,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,960,2575,2.682291667
30/06/2018,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,970,2825,2.912371134
30/09/2018,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,945,2510,2.656084656
31/12/2018,S08000017,NHS Dumfries & Galloway,S12000006,Dumfries & Galloway,Elective Inpatients,911,2675,2.936333699
31/12/2013,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1203,3525,2.930174564
31/03/2014,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1203,3338,2.774729842
30/06/2014,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1340,3888,2.901492537
30/09/2014,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1296,3820,2.947530864
31/12/2014,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1262,4017,3.183042789
31/03/2015,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1238,3687,2.97819063
30/06/2015,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1138,3174,2.789103691
30/09/2015,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1207,3200,2.651201326
31/12/2015,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1213,3577,2.948887057
31/03/2016,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1153,3141,2.724197745
30/06/2016,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1232,3235,2.625811688
30/09/2016,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1268,3296,2.599369085
31/12/2016,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1124,3037,2.701957295
31/03/2017,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1097,2676,2.439380128
30/06/2017,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1110,2983,2.687387387
30/09/2017,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,1049,3123,2.977121068
31/12/2017,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,959,2505,2.612095933
31/03/2018,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,960,2576,2.683333333
30/06/2018,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,973,2829,2.907502569
30/09/2018,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,945,2513,2.659259259
31/12/2018,S08000017,NHS Dumfries & Galloway,S08000017,NHS Dumfries & Galloway,Elective Inpatients,911,2675,2.936333699
30/09/2017,S08000017,NHS Dumfries & Galloway,NA,Other,Elective Inpatients,0,0,NA
31/03/2018,S08000017,NHS Dumfries & Galloway,NA,Other,Elective Inpatients,0,0,NA
30/06/2018,S08000017,NHS Dumfries & Galloway,NA,Other,Elective Inpatients,5,5,1
30/09/2018,S08000017,NHS Dumfries & Galloway,NA,Other,Elective Inpatients,0,0,NA
31/12/2013,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2746,7285,2.652949745
31/03/2014,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2630,8070,3.068441065
30/06/2014,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2533,6770,2.672720095
30/09/2014,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2510,6320,2.517928287
31/12/2014,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2571,6165,2.39789965
31/03/2015,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2512,5925,2.358678344
30/06/2015,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2544,6385,2.509827044
30/09/2015,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2531,6240,2.465428684
31/12/2015,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2548,5760,2.260596546
31/03/2016,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2494,5620,2.25340818
30/06/2016,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2603,5850,2.247406838
30/09/2016,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2375,5755,2.423157895
31/12/2016,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2361,5505,2.331639136
31/03/2017,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2400,5165,2.152083333
30/06/2017,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2270,4925,2.169603524
30/09/2017,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2250,4975,2.211111111
31/12/2017,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2195,4975,2.266514806
31/03/2018,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2130,4485,2.105633803
30/06/2018,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2385,5095,2.136268344
30/09/2018,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2060,4115,1.997572816
31/12/2018,S08000029,NHS Fife,S12000047,Fife,Elective Inpatients,2175,4480,2.059770115
31/12/2013,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2746,7284,2.652585579
31/03/2014,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2630,8070,3.068441065
30/06/2014,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2533,6768,2.671930517
30/09/2014,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2511,6320,2.516925528
31/12/2014,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2571,6163,2.397121743
31/03/2015,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2512,5927,2.359474522
30/06/2015,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2544,6386,2.510220126
30/09/2015,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2531,6240,2.465428684
31/12/2015,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2548,5760,2.260596546
31/03/2016,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2494,5620,2.25340818
30/06/2016,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2603,5849,2.247022666
30/09/2016,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2375,5757,2.424
31/12/2016,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2361,5507,2.332486235
31/03/2017,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2405,5167,2.148440748
30/06/2017,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2271,4924,2.168207838
30/09/2017,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2256,4986,2.210106383
31/12/2017,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2202,4990,2.266121708
31/03/2018,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2136,4497,2.105337079
30/06/2018,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2395,5115,2.135699374
30/09/2018,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2074,4166,2.008678881
31/12/2018,S08000029,NHS Fife,S08000029,NHS Fife,Elective Inpatients,2187,4494,2.054869684
31/03/2014,S08000029,NHS Fife,NA,Other,Elective Inpatients,0,0,NA
30/09/2014,S08000029,NHS Fife,NA,Other,Elective Inpatients,0,0,NA
31/03/2017,S08000029,NHS Fife,NA,Other,Elective Inpatients,5,5,1
30/06/2017,S08000029,NHS Fife,NA,Other,Elective Inpatients,5,0,0
30/09/2017,S08000029,NHS Fife,NA,Other,Elective Inpatients,5,10,2
31/12/2017,S08000029,NHS Fife,NA,Other,Elective Inpatients,10,15,1.5
31/03/2018,S08000029,NHS Fife,NA,Other,Elective Inpatients,10,10,1
30/06/2018,S08000029,NHS Fife,NA,Other,Elective Inpatients,10,20,2
30/09/2018,S08000029,NHS Fife,NA,Other,Elective Inpatients,15,50,3.333333333
31/12/2018,S08000029,NHS Fife,NA,Other,Elective Inpatients,15,15,1
31/12/2013,S08000019,NHS Forth Valley,S12000005,Clackmannanshire,Elective Inpatients,324,935,2.885802469
31/03/2014,S08000019,NHS Forth Valley,S12000005,Clackmannanshire,Elective Inpatients,340,1170,3.441176471
30/06/2014,S08000019,NHS Forth Valley,S12000005,Clackmannanshire,Elective Inpatients,313,875,2.795527157
30/09/2014,S08000019,NHS Forth Valley,S12000005,Clackmannanshire,Elective Inpatients,286,965,3.374125874
31/12/2014,S08000019,NHS Forth Valley,S12000005,Clackmannanshire,Elective Inpatients,305,915,3
31/03/2015,S08000019,NHS Forth Valley,S12000005,Clackmannanshire,Elective Inpatients,315,1010,3.206349206
30/06/2015,S08000019,NHS Forth Valley,S12000005,Clackmannanshire,Elective Inpatients,295,915,3.101694915
30/09/2015,S08000019,NHS Forth Valley,S12000005,Clackmannanshire,Elective Inpatients,263,795,3.022813688
