hb_name,hb_code,loc_name,loc_code,measure,sex,age,quarter_date,avlos,los,stays
Grand Combin,Grand Combin,Wandering Albatross,Diomedea exulans,All Daycases,Male,0-9,2018-10-01,3,8,550
Rimpfischhorn,Rimpfischhorn,White-faced Storm-Petrel,Pelagodroma marina,Elective Inpatients,Female,80-89,2018-04-01,22,4755,594
Rimpfischhorn,Rimpfischhorn,White-faced Storm-Petrel,Pelagodroma marina,Elective Inpatients,Female,80-89,2018-07-01,24,5255,534
Rimpfischhorn,Rimpfischhorn,White-faced Storm-Petrel,Pelagodroma marina,Elective Inpatients,Female,80-89,2018-10-01,23,4555,593
Grand Combin,Grand Combin,Audubon's Shearwater,Puffinus lherminieri,Elective Inpatients,Female,40-49,2018-04-01,14,1700,916
Grand Combin,Grand Combin,Audubon's Shearwater,Puffinus lherminieri,Elective Inpatients,Female,40-49,2018-07-01,14,1727,888
Grand Combin,Grand Combin,Audubon's Shearwater,Puffinus lherminieri,Elective Inpatients,Female,40-49,2018-10-01,14,1686,947
Finsteraarhorn,Finsteraarhorn,Fork-tailed Storm-Petrel,Oceanodroma furcata,Emergency Inpatients,Male,50-59,2018-04-01,24,3870,938
Finsteraarhorn,Finsteraarhorn,Fork-tailed Storm-Petrel,Oceanodroma furcata,Emergency Inpatients,Male,50-59,2018-07-01,25,4167,834
Finsteraarhorn,Finsteraarhorn,Fork-tailed Storm-Petrel,Oceanodroma furcata,Emergency Inpatients,Male,50-59,2018-10-01,24,4363,792
Shkhara,Shkhara,Short-tailed Albatross,Phoebastria albatrus,Emergency Inpatients,Male,50-59,2018-04-01,16,6986,1250
Shkhara,Shkhara,Short-tailed Albatross,Phoebastria albatrus,Emergency Inpatients,Male,50-59,2018-07-01,16,7292,1194
Shkhara,Shkhara,Short-tailed Albatross,Phoebastria albatrus,Emergency Inpatients,Male,50-59,2018-10-01,17,7190,1081
Monte Rosa,Monte Rosa,Horned Grebe,Podiceps auritus,All Daycases,Female,60-69,2018-04-01,8,8,354
Monte Rosa,Monte Rosa,Horned Grebe,Podiceps auritus,All Daycases,Female,60-69,2018-07-01,7,7,333
Monte Rosa,Monte Rosa,Horned Grebe,Podiceps auritus,All Daycases,Female,60-69,2018-10-01,7,7,339
Monte Rosa,Monte Rosa,Cory's Shearwater,Calonectris diomedea,All Daycases,Female,30-39,2018-04-01,3,8,125
Monte Rosa,Monte Rosa,Cory's Shearwater,Calonectris diomedea,All Daycases,Female,30-39,2018-07-01,4,1,146
Monte Rosa,Monte Rosa,Cory's Shearwater,Calonectris diomedea,All Daycases,Female,30-39,2018-10-01,9,9,125
Mont Blanc,Mont Blanc,Arctic Loon,Gavia arctica,Elective Inpatients,Female,10-19,2018-04-01,6,81,59
Mont Blanc,Mont Blanc,Arctic Loon,Gavia arctica,Elective Inpatients,Female,10-19,2018-07-01,9,87,60
Mont Blanc,Mont Blanc,Arctic Loon,Gavia arctica,Elective Inpatients,Female,10-19,2018-10-01,6,82,57
Elbrus,Elbrus,White-faced Storm-Petrel,Pelagodroma marina,Emergency Inpatients,Female,30-39,2018-04-01,4,107,42
Elbrus,Elbrus,White-faced Storm-Petrel,Pelagodroma marina,Emergency Inpatients,Female,30-39,2018-07-01,1,102,43
Elbrus,Elbrus,White-faced Storm-Petrel,Pelagodroma marina,Emergency Inpatients,Female,30-39,2018-10-01,2,98,40
Rimpfischhorn,Rimpfischhorn,Pacific Loon,Gavia pacifica,Emergency Inpatients,Female,20-29,2018-04-01,14,4052,1061
Rimpfischhorn,Rimpfischhorn,Pacific Loon,Gavia pacifica,Emergency Inpatients,Female,20-29,2018-07-01,14,3907,1137
Rimpfischhorn,Rimpfischhorn,Pacific Loon,Gavia pacifica,Emergency Inpatients,Female,20-29,2018-10-01,14,3731,1167
Dykh-Tau,Dykh-Tau,Cory's Shearwater,Calonectris diomedea,Emergency Inpatients,Female,50-59,2018-04-01,7,324,93
Dykh-Tau,Dykh-Tau,Cory's Shearwater,Calonectris diomedea,Emergency Inpatients,Female,50-59,2018-07-01,6,340,92
Dykh-Tau,Dykh-Tau,Cory's Shearwater,Calonectris diomedea,Emergency Inpatients,Female,50-59,2018-10-01,2,317,96
Koshtan-Tau,Koshtan-Tau,Black-browed Albatross,Thalassarche melanophris,Emergency Inpatients,Female,30-39,2018-04-01,9,16098,4385
Koshtan-Tau,Koshtan-Tau,Black-browed Albatross,Thalassarche melanophris,Emergency Inpatients,Female,30-39,2018-07-01,8,18315,4498
Koshtan-Tau,Koshtan-Tau,Black-browed Albatross,Thalassarche melanophris,Emergency Inpatients,Female,30-39,2018-10-01,8,16179,4403
Rimpfischhorn,Rimpfischhorn,Black-vented Shearwater,Puffinus opisthomelas,Elective Inpatients,Male,90+,2018-04-01,25,1538,107
Rimpfischhorn,Rimpfischhorn,Black-vented Shearwater,Puffinus opisthomelas,Elective Inpatients,Male,90+,2018-07-01,24,1530,117
Rimpfischhorn,Rimpfischhorn,Black-vented Shearwater,Puffinus opisthomelas,Elective Inpatients,Male,90+,2018-10-01,25,1322,104
Grand Combin,Grand Combin,Streaked Shearwater,Calonectris leucomelas,Elective Inpatients,Male,90+,2018-04-01,39,2698,232
Grand Combin,Grand Combin,Streaked Shearwater,Calonectris leucomelas,Elective Inpatients,Male,90+,2018-07-01,37,2536,244
Grand Combin,Grand Combin,Streaked Shearwater,Calonectris leucomelas,Elective Inpatients,Male,90+,2018-10-01,38,2701,219
Rimpfischhorn,Rimpfischhorn,Manx Shearwater,Puffinus puffinus,All Daycases,Female,60-69,2018-04-01,7,28,2949
Rimpfischhorn,Rimpfischhorn,Manx Shearwater,Puffinus puffinus,All Daycases,Female,60-69,2018-07-01,6,29,2991
Rimpfischhorn,Rimpfischhorn,Manx Shearwater,Puffinus puffinus,All Daycases,Female,60-69,2018-10-01,6,27,2965
Dom,Dom,Greater Shearwater,Puffinus gravis,Emergency Inpatients,Male,60-69,2018-04-01,13,4221,578
Dom,Dom,Greater Shearwater,Puffinus gravis,Emergency Inpatients,Male,60-69,2018-07-01,14,4229,673
Dom,Dom,Greater Shearwater,Puffinus gravis,Emergency Inpatients,Male,60-69,2018-10-01,14,4093,688
Grandes Jorasses,Grandes Jorasses,Pink-footed Shearwater,Puffinus creatopus,Elective Inpatients,Male,90+,2018-04-01,16,889,98
Grandes Jorasses,Grandes Jorasses,Pink-footed Shearwater,Puffinus creatopus,Elective Inpatients,Male,90+,2018-07-01,17,919,93
Grandes Jorasses,Grandes Jorasses,Pink-footed Shearwater,Puffinus creatopus,Elective Inpatients,Male,90+,2018-10-01,16,875,93
Dom,Dom,Band-rumped Storm-Petrel,Oceanodroma castro,Emergency Inpatients,Male,80-89,2018-04-01,22,7244,378
Dom,Dom,Band-rumped Storm-Petrel,Oceanodroma castro,Emergency Inpatients,Male,80-89,2018-07-01,24,7194,448
Dom,Dom,Band-rumped Storm-Petrel,Oceanodroma castro,Emergency Inpatients,Male,80-89,2018-10-01,21,6992,419
Shkhara,Shkhara,Pink-footed Shearwater,Puffinus creatopus,All Daycases,Male,70-79,2018-04-01,9,17,1175
Shkhara,Shkhara,Pink-footed Shearwater,Puffinus creatopus,All Daycases,Male,70-79,2018-07-01,3,18,1154
Shkhara,Shkhara,Pink-footed Shearwater,Puffinus creatopus,All Daycases,Male,70-79,2018-10-01,9,18,1194
Grand Combin,Grand Combin,Buller's Shearwater,Puffinus bulleri,Elective Inpatients,Male,30-39,2018-04-01,4,1057,702
Grand Combin,Grand Combin,Buller's Shearwater,Puffinus bulleri,Elective Inpatients,Male,30-39,2018-07-01,2,935,696
Grand Combin,Grand Combin,Buller's Shearwater,Puffinus bulleri,Elective Inpatients,Male,30-39,2018-10-01,1,883,628
Grand Combin,Grand Combin,Yellow-nosed Albatross,Thalassarche chlororhynchos,Elective Inpatients,Female,30-39,2018-04-01,6,1177,762
Grand Combin,Grand Combin,Yellow-nosed Albatross,Thalassarche chlororhynchos,Elective Inpatients,Female,30-39,2018-07-01,0,1023,711
Grand Combin,Grand Combin,Yellow-nosed Albatross,Thalassarche chlororhynchos,Elective Inpatients,Female,30-39,2018-10-01,2,1078,677
Matterhorn,Matterhorn,Wedge-tailed Shearwater,Puffinus pacificus,All Daycases,Female,20-29,2018-04-01,6,1,200
Matterhorn,Matterhorn,Wedge-tailed Shearwater,Puffinus pacificus,All Daycases,Female,20-29,2018-07-01,3,7,193
Matterhorn,Matterhorn,Wedge-tailed Shearwater,Puffinus pacificus,All Daycases,Female,20-29,2018-10-01,7,3,182
Rimpfischhorn,Rimpfischhorn,White-faced Storm-Petrel,Pelagodroma marina,All Daycases,Male,50-59,2018-04-01,5,16,2307
Rimpfischhorn,Rimpfischhorn,White-faced Storm-Petrel,Pelagodroma marina,All Daycases,Male,50-59,2018-07-01,2,15,2386
Rimpfischhorn,Rimpfischhorn,White-faced Storm-Petrel,Pelagodroma marina,All Daycases,Male,50-59,2018-10-01,6,15,2179
Grand Combin,Grand Combin,Laysan Albatross,Phoebastria immutabilis,Emergency Inpatients,Female,90+,2018-04-01,96,27169,960
Grand Combin,Grand Combin,Laysan Albatross,Phoebastria immutabilis,Emergency Inpatients,Female,90+,2018-07-01,100,22990,1138
Grand Combin,Grand Combin,Laysan Albatross,Phoebastria immutabilis,Emergency Inpatients,Female,90+,2018-10-01,101,27185,962
Finsteraarhorn,Finsteraarhorn,Pacific Loon,Gavia pacifica,All Daycases,Female,90+,2018-04-01,1,8,105
Finsteraarhorn,Finsteraarhorn,Pacific Loon,Gavia pacifica,All Daycases,Female,90+,2018-07-01,9,5,110
Finsteraarhorn,Finsteraarhorn,Pacific Loon,Gavia pacifica,All Daycases,Female,90+,2018-10-01,0,0,111
Mont Blanc,Mont Blanc,Red-necked Grebe,Podiceps grisegena,Elective Inpatients,Female,10-19,2018-04-01,1,73,63
Mont Blanc,Mont Blanc,Red-necked Grebe,Podiceps grisegena,Elective Inpatients,Female,10-19,2018-07-01,3,82,68
Mont Blanc,Mont Blanc,Red-necked Grebe,Podiceps grisegena,Elective Inpatients,Female,10-19,2018-10-01,3,77,68
Finsteraarhorn,Finsteraarhorn,Western Grebe,Aechmophorus occidentalis,All Daycases,Male,0-9,2018-04-01,1,6,73
Finsteraarhorn,Finsteraarhorn,Western Grebe,Aechmophorus occidentalis,All Daycases,Male,0-9,2018-07-01,3,0,78
Finsteraarhorn,Finsteraarhorn,Western Grebe,Aechmophorus occidentalis,All Daycases,Male,0-9,2018-10-01,4,9,75
Finsteraarhorn,Finsteraarhorn,White-chinned Petrel,Procellaria aequinoctialis,Elective Inpatients,Male,80-89,2018-04-01,21,1335,177
Finsteraarhorn,Finsteraarhorn,White-chinned Petrel,Procellaria aequinoctialis,Elective Inpatients,Male,80-89,2018-07-01,19,1346,152
Finsteraarhorn,Finsteraarhorn,White-chinned Petrel,Procellaria aequinoctialis,Elective Inpatients,Male,80-89,2018-10-01,19,1285,165
Finsteraarhorn,Finsteraarhorn,Streaked Shearwater,Calonectris leucomelas,Emergency Inpatients,Male,50-59,2018-04-01,24,3722,818
Finsteraarhorn,Finsteraarhorn,Streaked Shearwater,Calonectris leucomelas,Emergency Inpatients,Male,50-59,2018-07-01,24,4093,884
Finsteraarhorn,Finsteraarhorn,Streaked Shearwater,Calonectris leucomelas,Emergency Inpatients,Male,50-59,2018-10-01,25,4400,841
Shkhara,Shkhara,Arctic Loon,Gavia arctica,Elective Inpatients,Female,20-29,2018-04-01,8,228,102
Shkhara,Shkhara,Arctic Loon,Gavia arctica,Elective Inpatients,Female,20-29,2018-07-01,9,199,112
Shkhara,Shkhara,Arctic Loon,Gavia arctica,Elective Inpatients,Female,20-29,2018-10-01,5,209,98
Grandes Jorasses,Grandes Jorasses,Red-throated Loon,Gavia stellata,Emergency Inpatients,Female,60-69,2018-04-01,24,15440,2912
Grandes Jorasses,Grandes Jorasses,Red-throated Loon,Gavia stellata,Emergency Inpatients,Female,60-69,2018-07-01,23,13786,3239
Grandes Jorasses,Grandes Jorasses,Red-throated Loon,Gavia stellata,Emergency Inpatients,Female,60-69,2018-10-01,23,15232,2823
Grand Combin,Grand Combin,Least Grebe,Tachybaptus dominicus,All Daycases,Female,60-69,2018-04-01,5,51,6838
Grand Combin,Grand Combin,Least Grebe,Tachybaptus dominicus,All Daycases,Female,60-69,2018-07-01,0,49,5835
Grand Combin,Grand Combin,Least Grebe,Tachybaptus dominicus,All Daycases,Female,60-69,2018-10-01,3,51,6452
Grand Combin,Grand Combin,Cook's Petrel,Pterodroma cookii,All Daycases,Female,10-19,2018-04-01,1,8,880
Grand Combin,Grand Combin,Cook's Petrel,Pterodroma cookii,All Daycases,Female,10-19,2018-07-01,6,6,820
Grand Combin,Grand Combin,Cook's Petrel,Pterodroma cookii,All Daycases,Female,10-19,2018-10-01,8,9,920
Grandes Jorasses,Grandes Jorasses,Sooty Shearwater,Puffinus griseus,Elective Inpatients,Male,20-29,2018-04-01,6,233,200
Grandes Jorasses,Grandes Jorasses,Sooty Shearwater,Puffinus griseus,Elective Inpatients,Male,20-29,2018-07-01,3,214,190
Grandes Jorasses,Grandes Jorasses,Sooty Shearwater,Puffinus griseus,Elective Inpatients,Male,20-29,2018-10-01,4,210,189
Mont Blanc,Mont Blanc,Wandering Albatross,Diomedea exulans,Elective Inpatients,Female,0-9,2018-04-01,5,42,41
Mont Blanc,Mont Blanc,Wandering Albatross,Diomedea exulans,Elective Inpatients,Female,0-9,2018-07-01,8,47,41
Mont Blanc,Mont Blanc,Wandering Albatross,Diomedea exulans,Elective Inpatients,Female,0-9,2018-10-01,2,45,40
Grandes Jorasses,Grandes Jorasses,Common Loon,Gavia immer,Emergency Inpatients,Female,20-29,2018-04-01,9,2291,897
Grandes Jorasses,Grandes Jorasses,Common Loon,Gavia immer,Emergency Inpatients,Female,20-29,2018-07-01,3,2296,874
Grandes Jorasses,Grandes Jorasses,Common Loon,Gavia immer,Emergency Inpatients,Female,20-29,2018-10-01,2,2474,838
Grandes Jorasses,Grandes Jorasses,Band-rumped Storm-Petrel,Oceanodroma castro,All Daycases,Male,10-19,2018-04-01,9,7,309
Grandes Jorasses,Grandes Jorasses,Band-rumped Storm-Petrel,Oceanodroma castro,All Daycases,Male,10-19,2018-07-01,1,6,287
Grandes Jorasses,Grandes Jorasses,Band-rumped Storm-Petrel,Oceanodroma castro,All Daycases,Male,10-19,2018-10-01,1,6,284
Weisshorn,Weisshorn,Black-vented Shearwater,Puffinus opisthomelas,Emergency Inpatients,Male,20-29,2018-04-01,8,1088,352
Weisshorn,Weisshorn,Black-vented Shearwater,Puffinus opisthomelas,Emergency Inpatients,Male,20-29,2018-07-01,6,1113,408
Weisshorn,Weisshorn,Black-vented Shearwater,Puffinus opisthomelas,Emergency Inpatients,Male,20-29,2018-10-01,3,994,353
Dom,Dom,Fork-tailed Storm-Petrel,Oceanodroma furcata,Elective Inpatients,Female,60-69,2018-04-01,2,561,151
Dom,Dom,Fork-tailed Storm-Petrel,Oceanodroma furcata,Elective Inpatients,Female,60-69,2018-07-01,2,530,168
Dom,Dom,Fork-tailed Storm-Petrel,Oceanodroma furcata,Elective Inpatients,Female,60-69,2018-10-01,4,538,146
Dent Blanche,Dent Blanche,Northern Fulmar,Fulmarus glacialis,Elective Inpatients,Female,0-9,2018-04-01,7,46,45
Dent Blanche,Dent Blanche,Northern Fulmar,Fulmarus glacialis,Elective Inpatients,Female,0-9,2018-07-01,2,49,45
Dent Blanche,Dent Blanche,Northern Fulmar,Fulmarus glacialis,Elective Inpatients,Female,0-9,2018-10-01,4,46,43
Grand Combin,Grand Combin,Cook's Petrel,Pterodroma cookii,Elective Inpatients,Male,10-19,2018-04-01,4,278,238
Grand Combin,Grand Combin,Cook's Petrel,Pterodroma cookii,Elective Inpatients,Male,10-19,2018-07-01,9,236,253
Grand Combin,Grand Combin,Cook's Petrel,Pterodroma cookii,Elective Inpatients,Male,10-19,2018-10-01,1,272,250
Finsteraarhorn,Finsteraarhorn,Pied-billed Grebe,Podilymbus podiceps,Elective Inpatients,Male,10-19,2018-04-01,5,36,34
Finsteraarhorn,Finsteraarhorn,Pied-billed Grebe,Podilymbus podiceps,Elective Inpatients,Male,10-19,2018-07-01,3,42,34
Finsteraarhorn,Finsteraarhorn,Pied-billed Grebe,Podilymbus podiceps,Elective Inpatients,Male,10-19,2018-10-01,7,40,33
Grand Combin,Grand Combin,Herald Petrel,Pterodroma arminjoniana,All Daycases,Female,30-39,2018-04-01,4,4,2267
Grand Combin,Grand Combin,Herald Petrel,Pterodroma arminjoniana,All Daycases,Female,30-39,2018-07-01,2,1,2262
Grand Combin,Grand Combin,Herald Petrel,Pterodroma arminjoniana,All Daycases,Female,30-39,2018-10-01,0,7,2630
Koshtan-Tau,Koshtan-Tau,Pied-billed Grebe,Podilymbus podiceps,Emergency Inpatients,Male,30-39,2018-04-01,9,13737,4466
Koshtan-Tau,Koshtan-Tau,Pied-billed Grebe,Podilymbus podiceps,Emergency Inpatients,Male,30-39,2018-07-01,2,14263,4895
Koshtan-Tau,Koshtan-Tau,Pied-billed Grebe,Podilymbus podiceps,Emergency Inpatients,Male,30-39,2018-10-01,2,13706,4622
Monte Rosa,Monte Rosa,Cory's Shearwater,Calonectris diomedea,Elective Inpatients,Female,20-29,2018-04-01,9,48,32
Monte Rosa,Monte Rosa,Cory's Shearwater,Calonectris diomedea,Elective Inpatients,Female,20-29,2018-07-01,6,49,34
Monte Rosa,Monte Rosa,Cory's Shearwater,Calonectris diomedea,Elective Inpatients,Female,20-29,2018-10-01,8,50,30
Weisshorn,Weisshorn,Pied-billed Grebe,Podilymbus podiceps,Emergency Inpatients,Female,70-79,2018-04-01,20,12752,1479
Weisshorn,Weisshorn,Pied-billed Grebe,Podilymbus podiceps,Emergency Inpatients,Female,70-79,2018-07-01,20,11794,1468
Weisshorn,Weisshorn,Pied-billed Grebe,Podilymbus podiceps,Emergency Inpatients,Female,70-79,2018-10-01,20,11856,1347
Dom,Dom,Pacific Loon,Gavia pacifica,Elective Inpatients,Female,90+,2018-04-01,1,314,21
Dom,Dom,Pacific Loon,Gavia pacifica,Elective Inpatients,Female,90+,2018-07-01,0,320,21
Dom,Dom,Pacific Loon,Gavia pacifica,Elective Inpatients,Female,90+,2018-10-01,1,313,19
Grandes Jorasses,Grandes Jorasses,Cory's Shearwater,Calonectris diomedea,All Daycases,Female,50-59,2018-04-01,7,9,2020
Grandes Jorasses,Grandes Jorasses,Cory's Shearwater,Calonectris diomedea,All Daycases,Female,50-59,2018-07-01,0,8,1981
Grandes Jorasses,Grandes Jorasses,Cory's Shearwater,Calonectris diomedea,All Daycases,Female,50-59,2018-10-01,6,0,2004
Matterhorn,Matterhorn,Cory's Shearwater,Calonectris diomedea,Elective Inpatients,Male,90+,2018-04-01,5,488,25
Matterhorn,Matterhorn,Cory's Shearwater,Calonectris diomedea,Elective Inpatients,Male,90+,2018-07-01,9,451,23
Matterhorn,Matterhorn,Cory's Shearwater,Calonectris diomedea,Elective Inpatients,Male,90+,2018-10-01,8,472,26
Grand Combin,Grand Combin,Audubon's Shearwater,Puffinus lherminieri,Elective Inpatients,Female,40-49,2018-04-01,14,1699,997
Grand Combin,Grand Combin,Audubon's Shearwater,Puffinus lherminieri,Elective Inpatients,Female,40-49,2018-07-01,14,1680,912
Grand Combin,Grand Combin,Audubon's Shearwater,Puffinus lherminieri,Elective Inpatients,Female,40-49,2018-10-01,13,1766,960
Matterhorn,Matterhorn,Black-vented Shearwater,Puffinus opisthomelas,All Daycases,Female,10-19,2018-04-01,8,6,91
Matterhorn,Matterhorn,Black-vented Shearwater,Puffinus opisthomelas,All Daycases,Female,10-19,2018-07-01,1,8,85
Matterhorn,Matterhorn,Black-vented Shearwater,Puffinus opisthomelas,All Daycases,Female,10-19,2018-10-01,4,3,89
Dom,Dom,Least Grebe,Tachybaptus dominicus,All Daycases,Male,40-49,2018-04-01,5,7,276
Dom,Dom,Least Grebe,Tachybaptus dominicus,All Daycases,Male,40-49,2018-07-01,9,3,273
Dom,Dom,Least Grebe,Tachybaptus dominicus,All Daycases,Male,40-49,2018-10-01,0,3,263
Monte Rosa,Monte Rosa,Ashy Storm-Petrel,Oceanodroma homochroa,Emergency Inpatients,Male,30-39,2018-04-01,5,572,164
Monte Rosa,Monte Rosa,Ashy Storm-Petrel,Oceanodroma homochroa,Emergency Inpatients,Male,30-39,2018-07-01,6,581,157
Monte Rosa,Monte Rosa,Ashy Storm-Petrel,Oceanodroma homochroa,Emergency Inpatients,Male,30-39,2018-10-01,9,548,157
Grandes Jorasses,Grandes Jorasses,Eared Grebe,Podiceps nigricollis,All Daycases,Male,50-59,2018-04-01,1,4,1768
Grandes Jorasses,Grandes Jorasses,Eared Grebe,Podiceps nigricollis,All Daycases,Male,50-59,2018-07-01,1,8,2001
Grandes Jorasses,Grandes Jorasses,Eared Grebe,Podiceps nigricollis,All Daycases,Male,50-59,2018-10-01,3,9,2106
Dom,Dom,Manx Shearwater,Puffinus puffinus,Elective Inpatients,Male,60-69,2018-04-01,1,460,161
Dom,Dom,Manx Shearwater,Puffinus puffinus,Elective Inpatients,Male,60-69,2018-07-01,6,472,167
Dom,Dom,Manx Shearwater,Puffinus puffinus,Elective Inpatients,Male,60-69,2018-10-01,0,487,151
Weisshorn,Weisshorn,Shy Albatross,Thalassarche cauta,Emergency Inpatients,Female,40-49,2018-04-01,7,2877,712
Weisshorn,Weisshorn,Shy Albatross,Thalassarche cauta,Emergency Inpatients,Female,40-49,2018-07-01,6,2935,627
Weisshorn,Weisshorn,Shy Albatross,Thalassarche cauta,Emergency Inpatients,Female,40-49,2018-10-01,4,3204,661
Grand Combin,Grand Combin,Murphy's Petrel,Pterodroma ultima,Elective Inpatients,Female,90+,2018-04-01,37,2902,268
Grand Combin,Grand Combin,Murphy's Petrel,Pterodroma ultima,Elective Inpatients,Female,90+,2018-07-01,38,3118,232
Grand Combin,Grand Combin,Murphy's Petrel,Pterodroma ultima,Elective Inpatients,Female,90+,2018-10-01,39,2847,228
Elbrus,Elbrus,Greater Shearwater,Puffinus gravis,Emergency Inpatients,Female,80-89,2018-04-01,15,790,67
Elbrus,Elbrus,Greater Shearwater,Puffinus gravis,Emergency Inpatients,Female,80-89,2018-07-01,15,819,75
Elbrus,Elbrus,Greater Shearwater,Puffinus gravis,Emergency Inpatients,Female,80-89,2018-10-01,15,820,70
Monte Rosa,Monte Rosa,Black-footed Albatross,Phoebastria nigripes,All Daycases,Male,70-79,2018-04-01,2,6,341
Monte Rosa,Monte Rosa,Black-footed Albatross,Phoebastria nigripes,All Daycases,Male,70-79,2018-07-01,1,3,353
Monte Rosa,Monte Rosa,Black-footed Albatross,Phoebastria nigripes,All Daycases,Male,70-79,2018-10-01,7,6,350
Elbrus,Elbrus,Short-tailed Shearwater,Puffinus tenuirostris,Emergency Inpatients,Female,50-59,2018-04-01,8,313,86
Elbrus,Elbrus,Short-tailed Shearwater,Puffinus tenuirostris,Emergency Inpatients,Female,50-59,2018-07-01,8,340,91
Elbrus,Elbrus,Short-tailed Shearwater,Puffinus tenuirostris,Emergency Inpatients,Female,50-59,2018-10-01,4,318,99
Monte Rosa,Monte Rosa,Ashy Storm-Petrel,Oceanodroma homochroa,All Daycases,Female,10-19,2018-04-01,2,6,49
Monte Rosa,Monte Rosa,Ashy Storm-Petrel,Oceanodroma homochroa,All Daycases,Female,10-19,2018-07-01,9,9,48
Monte Rosa,Monte Rosa,Ashy Storm-Petrel,Oceanodroma homochroa,All Daycases,Female,10-19,2018-10-01,8,5,51
Shkhara,Shkhara,Red-necked Grebe,Podiceps grisegena,Elective Inpatients,Male,40-49,2018-04-01,0,404,177
Shkhara,Shkhara,Red-necked Grebe,Podiceps grisegena,Elective Inpatients,Male,40-49,2018-07-01,3,436,153
